,Block,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent
0,41.000,41.95469,-87.800991,9,1,0
1,41.000,41.95469,-87.800991,9,1,0
2,62.000,41.994991,-87.769279,9,1,0
3,79.000,41.974089,-87.824812,8,1,0
4,79.000,41.974089,-87.824812,8,4,0
5,15.000,41.9216,-87.666455,8,2,0
6,25.000,41.891118,-87.654491,8,1,0
7,11.000,41.867108,-87.654224,8,1,0
8,11.000,41.867108,-87.654224,8,2,0
9,11.000,41.896282,-87.655232,8,1,0
10,21.000,41.919343,-87.694259,8,1,0
11,22.000,41.921965,-87.632085,8,2,0
12,22.000,41.921965,-87.632085,8,3,0
13,22.000,41.688324,-87.676709,8,1,0
14,22.000,41.688324,-87.676709,8,1,0
15,11.000,41.862292,-87.64886,8,1,0
16,17.000,41.720848,-87.666014,9,3,0
17,22.000,41.731922,-87.677512,8,5,0
18,22.000,41.731922,-87.677512,8,1,0
19,53.000,41.891126,-87.61156,5,1,0
20,53.000,41.891126,-87.61156,5,2,0
21,65.000,41.999129,-87.795585,8,1,0
22,75.000,42.01743,-87.687769,8,1,0
23,15.000,41.907645,-87.760886,8,1,0
24,89.000,41.732984,-87.649642,8,1,0
25,41.000,41.95469,-87.800991,9,3,0
26,41.000,41.95469,-87.800991,9,5,0
27,41.000,41.95469,-87.800991,9,1,0
28,79.000,41.974089,-87.824812,8,1,0
29,79.000,41.974089,-87.824812,8,2,0
30,15.000,41.9216,-87.666455,8,1,0
31,15.000,41.9216,-87.666455,8,2,0
32,15.000,41.9216,-87.666455,8,1,0
33,25.000,41.891118,-87.654491,8,1,0
34,11.000,41.867108,-87.654224,8,1,0
35,11.000,41.867108,-87.654224,8,1,0
36,11.000,41.867108,-87.654224,8,2,0
37,11.000,41.896282,-87.655232,8,2,0
38,21.000,41.919343,-87.694259,8,1,0
39,21.000,41.919343,-87.694259,8,1,0
40,22.000,41.921965,-87.632085,8,3,0
41,22.000,41.688324,-87.676709,8,4,0
42,17.000,41.720848,-87.666014,9,2,0
43,22.000,41.731922,-87.677512,8,1,0
44,22.000,41.731922,-87.677512,8,1,0
45,22.000,41.731922,-87.677512,8,1,0
46,65.000,41.999129,-87.795585,8,2,0
47,65.000,41.999129,-87.795585,8,9,0
48,15.000,41.907645,-87.760886,8,3,0
49,89.000,41.732984,-87.649642,8,1,0
50,91.000,41.981964,-87.812827,8,2,0
51,36.000,41.944869,-87.832763,8,1,0
52,72.000,42.011601,-87.811506,8,1,0
53,38.000,41.94983,-87.698457,9,1,0
54,49.000,41.979243,-87.750938,9,1,0
55,58.000,41.986921,-87.689778,9,2,0
56,50.000,41.801498,-87.763416,9,1,0
57,14.000,41.906638,-87.701431,9,3,0
58,10.000,41.723195,-87.64997,5,1,0
59,11.000,41.868077,-87.666901,9,1,0
60,11.000,41.868077,-87.666901,9,7,0
61,11.000,41.869216,-87.627561,8,1,0
62,42.000,41.662014,-87.724608,8,2,0
63,42.000,41.662014,-87.724608,8,4,0
64,42.000,41.662014,-87.724608,8,1,0
65,53.000,41.961743,-87.76007,9,1,0
66,53.000,41.961743,-87.76007,9,2,0
67,40.000,41.953067,-87.776792,8,1,0
68,40.000,41.953067,-87.776792,8,3,0
69,43.000,41.878114,-87.629798,3,3,0
70,42.000,41.958271,-87.702575,9,1,0
71,42.000,41.958271,-87.702575,9,2,0
72,28.000,41.932094,-87.700117,8,1,0
73,15.000,41.994469,-87.667736,8,1,0
74,18.000,42.006858,-87.675919,9,2,0
75,70.000,41.916265,-87.800515,8,1,0
76,70.000,41.916265,-87.800515,8,10,0
77,25.000,41.846075,-87.716277,9,1,0
78,21.000,41.918705,-87.752329,8,1,0
79,35.000,41.682587,-87.707973,9,3,0
80,35.000,41.682587,-87.707973,9,8,0
81,93.000,41.725517,-87.614258,8,1,0
82,37.000,41.948167,-87.730698,8,2,0
83,37.000,41.948167,-87.730698,8,1,0
84,45.000,41.963976,-87.69181,9,1,0
85,41.000,41.95469,-87.800991,9,1,0
86,41.000,41.95469,-87.800991,9,4,0
87,41.000,41.95469,-87.800991,9,1,0
88,62.000,41.994991,-87.769279,9,1,0
89,62.000,41.994991,-87.769279,9,4,0
90,79.000,41.974089,-87.824812,8,1,0
91,15.000,41.9216,-87.666455,8,1,0
92,15.000,41.9216,-87.666455,8,1,0
93,25.000,41.891118,-87.654491,8,1,0
94,25.000,41.891118,-87.654491,8,6,0
95,11.000,41.867108,-87.654224,8,2,0
96,11.000,41.896282,-87.655232,8,1,0
97,21.000,41.919343,-87.694259,8,1,0
98,22.000,41.688324,-87.676709,8,1,0
99,22.000,41.688324,-87.676709,8,1,0
100,22.000,41.688324,-87.676709,8,2,0
101,22.000,41.731922,-87.677512,8,5,0
102,53.000,41.891126,-87.61156,5,1,0
103,53.000,41.891126,-87.61156,5,1,0
104,65.000,41.999129,-87.795585,8,1,0
105,65.000,41.999129,-87.795585,8,1,0
106,75.000,42.01743,-87.687769,8,2,0
107,75.000,42.01743,-87.687769,8,2,0
108,36.000,41.944869,-87.832763,8,2,0
109,36.000,41.944869,-87.832763,8,4,0
110,72.000,42.011601,-87.811506,8,2,0
111,72.000,42.011601,-87.811506,8,2,0
112,38.000,41.94983,-87.698457,9,1,0
113,49.000,41.979243,-87.750938,9,1,0
114,58.000,41.986921,-87.689778,9,1,0
115,58.000,41.986921,-87.689778,9,9,0
116,14.000,41.906638,-87.701431,9,2,0
117,14.000,41.906638,-87.701431,9,3,0
118,11.000,41.868077,-87.666901,9,10,0
119,11.000,41.868077,-87.666901,9,19,0
120,11.000,41.868077,-87.666901,9,1,0
121,42.000,41.662014,-87.724608,8,20,0
122,42.000,41.662014,-87.724608,8,25,0
123,42.000,41.662014,-87.724608,8,6,0
124,53.000,41.961743,-87.76007,9,1,0
125,53.000,41.961743,-87.76007,9,3,0
126,40.000,41.953067,-87.776792,8,4,0
127,43.000,41.878114,-87.629798,3,1,0
128,42.000,41.958271,-87.702575,9,6,0
129,28.000,41.932094,-87.700117,8,1,0
130,18.000,42.006858,-87.675919,9,2,0
131,70.000,41.916265,-87.800515,8,3,0
132,70.000,41.916265,-87.800515,8,6,0
133,35.000,41.682587,-87.707973,9,1,0
134,35.000,41.682587,-87.707973,9,4,0
135,45.000,41.963976,-87.69181,9,1,0
136,40.000,41.953705,-87.733974,8,1,0
137,46.000,41.964242,-87.757639,8,2,0
138,60.000,41.990284,-87.797127,8,1,0
139,60.000,41.990284,-87.797127,8,1,0
140,70.000,42.008314,-87.777921,9,2,0
141,61.000,41.991429,-87.747113,8,2,0
142,27.000,41.843811,-87.686763,9,1,0
143,68.000,41.921177,-87.79518,8,1,0
144,21.000,41.852652,-87.719887,8,5,0
145,21.000,41.852652,-87.719887,8,1,0
146,30.000,41.857402,-87.694991,8,1,0
147,11.000,41.868142,-87.696269,9,1,0
148,11.000,41.868142,-87.696269,9,1,0
149,25.000,41.846283,-87.656913,9,1,0
150,10.000,41.721474,-87.648064,8,2,0
151,10.000,41.869107,-87.696293,9,1,0
152,96.000,41.719059,-87.675088,9,3,0
153,96.000,41.719059,-87.675088,9,5,0
154,18.000,41.966987,-87.674677,8,1,0
155,41.000,41.95469,-87.800991,9,2,0
156,79.000,41.974089,-87.824812,8,1,0
157,79.000,41.974089,-87.824812,8,2,0
158,25.000,41.891118,-87.654491,8,2,0
159,22.000,41.921965,-87.632085,8,3,0
160,22.000,41.688324,-87.676709,8,2,0
161,22.000,41.688324,-87.676709,8,1,0
162,11.000,41.862292,-87.64886,8,1,0
163,22.000,41.731922,-87.677512,8,1,0
164,65.000,41.999129,-87.795585,8,3,0
165,75.000,42.01743,-87.687769,8,2,0
166,75.000,42.01743,-87.687769,8,2,0
167,15.000,41.907645,-87.760886,8,1,0
168,72.000,42.011601,-87.811506,8,2,0
169,58.000,41.986921,-87.689778,9,2,0
170,58.000,41.986921,-87.689778,9,1,0
171,50.000,41.801498,-87.763416,9,1,0
172,10.000,41.723195,-87.64997,5,2,0
173,11.000,41.868077,-87.666901,9,1,0
174,11.000,41.868077,-87.666901,9,6,0
175,11.000,41.868077,-87.666901,9,3,0
